date,PPT
1981-01-01,152.1
1981-02-01,25.8
1981-03-01,122.0
1981-04-01,30.8
1981-05-01,9.7
1981-06-01,0.0
1981-07-01,0.0
1981-08-01,0.0
1981-09-01,0.1
1981-10-01,47.4
1981-11-01,118.8
1981-12-01,63.7
1982-01-01,103.2
1982-02-01,76.0
1982-03-01,148.3
1982-04-01,95.9
1982-05-01,1.0
1982-06-01,2.4
1982-07-01,1.9
1982-08-01,0.0
1982-09-01,52.0
1982-10-01,82.2
1982-11-01,94.5
1982-12-01,109.3
1983-01-01,162.8
1983-02-01,125.4
1983-03-01,210.9
1983-04-01,58.7
1983-05-01,15.0
1983-06-01,0.7
1983-07-01,0.0
1983-08-01,1.8
1983-09-01,18.7
1983-10-01,25.1
1983-11-01,164.8
1983-12-01,114.4
1984-01-01,8.2
1984-02-01,58.5
1984-03-01,30.0
1984-04-01,22.2
1984-05-01,0.6
1984-06-01,2.4
1984-07-01,0.0
1984-08-01,0.0
1984-09-01,0.0
1984-10-01,46.5
1984-11-01,121.3
1984-12-01,61.5
1985-01-01,39.2
1985-02-01,44.1
1985-03-01,86.8
1985-04-01,2.2
1985-05-01,0.0
1985-06-01,8.9
1985-07-01,0.0
1985-08-01,1.1
1985-09-01,8.8
1985-10-01,20.3
1985-11-01,88.6
1985-12-01,45.1
1986-01-01,77.2
1986-02-01,203.4
1986-03-01,111.8
1986-04-01,29.2
1986-05-01,7.6
1986-06-01,0.0
1986-07-01,0.0
1986-08-01,0.0
1986-09-01,24.7
1986-10-01,1.3
1986-11-01,5.8
1986-12-01,30.3
1987-01-01,48.2
1987-02-01,85.6
1987-03-01,101.9
1987-04-01,8.1
1987-05-01,11.8
1987-06-01,6.3
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.9
1987-10-01,11.6
1987-11-01,36.0
1987-12-01,54.0
1988-01-01,61.0
1988-02-01,9.9
1988-03-01,16.3
1988-04-01,66.2
1988-05-01,12.9
1988-06-01,3.3
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,50.9
1988-12-01,56.5
1989-01-01,30.0
1989-02-01,32.3
1989-03-01,92.2
1989-04-01,8.4
1989-05-01,0.9
1989-06-01,2.4
1989-07-01,0.0
1989-08-01,1.2
1989-09-01,40.1
1989-10-01,56.3
1989-11-01,40.8
1989-12-01,0.0
1990-01-01,56.1
1990-02-01,57.6
1990-03-01,32.9
1990-04-01,31.0
1990-05-01,51.1
1990-06-01,2.6
1990-07-01,0.1
1990-08-01,0.0
1990-09-01,0.0
1990-10-01,1.3
1990-11-01,11.2
1990-12-01,19.2
1991-01-01,4.7
1991-02-01,42.6
1991-03-01,212.6
1991-04-01,9.2
1991-05-01,6.8
1991-06-01,6.8
1991-07-01,2.3
1991-08-01,1.6
1991-09-01,0.0
1991-10-01,69.3
1991-11-01,7.0
1991-12-01,39.7
1992-01-01,35.7
1992-02-01,147.4
1992-03-01,58.0
1992-04-01,8.1
1992-05-01,2.0
1992-06-01,4.2
1992-07-01,5.8
1992-08-01,0.0
1992-09-01,0.0
1992-10-01,29.0
1992-11-01,4.6
1992-12-01,103.1
1993-01-01,193.0
1993-02-01,106.3
1993-03-01,81.9
1993-04-01,16.9
1993-05-01,24.5
1993-06-01,30.3
1993-07-01,0.0
1993-08-01,0.0
1993-09-01,0.0
1993-10-01,2.2
1993-11-01,40.2
1993-12-01,49.6
1994-01-01,41.6
1994-02-01,77.0
1994-03-01,8.8
1994-04-01,49.0
1994-05-01,25.4
1994-06-01,2.9
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,3.2
1994-10-01,15.4
1994-11-01,52.2
1994-12-01,43.1
1995-01-01,226.6
1995-02-01,19.1
1995-03-01,188.8
1995-04-01,28.6
1995-05-01,50.9
1995-06-01,25.3
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,3.0
1995-12-01,122.4
1996-01-01,101.9
1996-02-01,126.0
1996-03-01,47.6
1996-04-01,38.7
1996-05-01,64.6
1996-06-01,9.4
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,24.5
1996-11-01,86.1
1996-12-01,180.0
1997-01-01,172.5
1997-02-01,7.5
1997-03-01,2.3
1997-04-01,3.9
1997-05-01,1.9
1997-06-01,1.6
1997-07-01,0.0
1997-08-01,0.7
1997-09-01,0.0
1997-10-01,18.9
1997-11-01,94.5
1997-12-01,50.3
1998-01-01,194.0
1998-02-01,261.8
1998-03-01,72.6
1998-04-01,82.5
1998-05-01,93.6
1998-06-01,4.3
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.2
1998-10-01,20.4
1998-11-01,50.0
1998-12-01,58.5
1999-01-01,89.0
1999-02-01,117.4
1999-03-01,28.2
