date,WB
1/1/81,-0.9
1/2/81,-0.8
1/3/81,-1.1
1/4/81,-1.4
1/5/81,-1.2
1/6/81,-1
1/7/81,-0.9
1/8/81,-0.8
1/9/81,-0.8
1/10/81,0
1/11/81,-0.8
1/12/81,-1.1
1/13/81,-1.6
1/14/81,-0.8
1/15/81,-0.3
1/16/81,-0.3
1/17/81,-1.5
1/18/81,-1.7
1/19/81,-1.8
1/20/81,-1.7
1/21/81,-1.6
1/22/81,19.6
1/23/81,24.7
1/24/81,6.3
1/25/81,-1.5
1/26/81,9.1
1/27/81,28.3
1/28/81,26.2
1/29/81,20.1
1/30/81,3.6
1/31/81,-0.5
2/1/81,-1.6
2/2/81,-1.7
2/3/81,-1.8
2/4/81,-1.8
2/5/81,-1.6
2/6/81,-1.6
2/7/81,-1.4
2/8/81,0.9
2/9/81,1.8
2/10/81,-1.7
2/11/81,-2
2/12/81,-1.6
2/13/81,0.7
2/14/81,3.1
2/15/81,-2.3
2/16/81,-2.4
2/17/81,-2.3
2/18/81,-2.6
2/19/81,-2.4
2/20/81,-2.3
2/21/81,-2.5
2/22/81,-2.9
2/23/81,-0.2
2/24/81,1.8
2/25/81,1.7
2/26/81,-0.5
2/27/81,-2.3
2/28/81,-1.2
3/1/81,0.5
3/2/81,1.2
3/3/81,-1.1
3/4/81,10.7
3/5/81,13.7
3/6/81,-2.4
3/7/81,-2.5
3/8/81,-2.8
3/9/81,-2
3/10/81,-3.1
3/11/81,-3.1
3/12/81,-1.2
3/13/81,-0.7
3/14/81,-2.2
3/15/81,6.4
3/16/81,8.8
3/17/81,-2.8
3/18/81,5.3
3/19/81,13
3/20/81,11.2
3/21/81,2
3/22/81,-0.9
3/23/81,-3.1
3/24/81,-3.1
3/25/81,8
3/26/81,6.9
3/27/81,-3.4
3/28/81,-3.5
3/29/81,-3.1
3/30/81,-3.3
3/31/81,-3.4
4/1/81,-2.7
4/2/81,-3.3
4/3/81,-3.5
4/4/81,-4
4/5/81,-4.5
4/6/81,-3.9
4/7/81,-3.9
4/8/81,-3.8
4/9/81,-4.1
4/10/81,-3.7
4/11/81,-3.8
4/12/81,-4.3
4/13/81,-4.6
4/14/81,-5.1
4/15/81,-4.6
4/16/81,-4.9
4/17/81,-4.7
4/18/81,7.1
