date,WB
1981-01-01,113.4
1981-02-01,-31.4
1981-03-01,40.2
1981-04-01,-97.8
1981-05-01,-169.4
1981-06-01,-228.2
1981-07-01,-237.9
1981-08-01,-204.0
1981-09-01,-150.9
1981-10-01,-44.6
1981-11-01,67.4
1981-12-01,29.5
1982-01-01,69.3
1982-02-01,19.4
1982-03-01,71.0
1982-04-01,-17.8
1982-05-01,-181.0
1982-06-01,-185.5
1982-07-01,-217.4
1982-08-01,-198.2
1982-09-01,-83.9
1982-10-01,-9.8
1982-11-01,50.9
1982-12-01,74.1
1983-01-01,131.0
1983-02-01,74.9
1983-03-01,134.8
1983-04-01,-50.8
1983-05-01,-156.6
1983-06-01,-200.9
1983-07-01,-215.2
1983-08-01,-196.8
1983-09-01,-132.8
1983-10-01,-75.5
1983-11-01,118.3
1983-12-01,82.0
1984-01-01,-30.2
1984-02-01,1.1
1984-03-01,-69.0
1984-04-01,-100.7
1984-05-01,-191.8
1984-06-01,-207.1
1984-07-01,-240.1
1984-08-01,-205.2
1984-09-01,-159.8
1984-10-01,-37.0
1984-11-01,75.8
1984-12-01,28.9
1985-01-01,7.1
1985-02-01,-15.0
1985-03-01,5.0
1985-04-01,-136.1
1985-05-01,-176.7
1985-06-01,-210.4
1985-07-01,-235.7
1985-08-01,-196.7
1985-09-01,-124.5
1985-10-01,-76.5
1985-11-01,42.2
1985-12-01,16.7
1986-01-01,36.0
1986-02-01,150.5
1986-03-01,18.8
1986-04-01,-93.8
1986-05-01,-171.3
1986-06-01,-209.4
1986-07-01,-224.5
1986-08-01,-209.7
1986-09-01,-107.5
1986-10-01,-99.1
1986-11-01,-55.7
1986-12-01,-4.7
1987-01-01,10.0
1987-02-01,27.9
1987-03-01,14.1
1987-04-01,-139.4
1987-05-01,-171.0
1987-06-01,-204.8
1987-07-01,-205.0
1987-08-01,-200.0
1987-09-01,-150.2
1987-10-01,-94.1
1987-11-01,-14.3
1987-12-01,19.8
1988-01-01,21.7
1988-02-01,-57.6
1988-03-01,-85.7
1988-04-01,-58.4
1988-05-01,-153.4
1988-06-01,-194.8
1988-07-01,-237.9
1988-08-01,-196.4
1988-09-01,-153.4
1988-10-01,-105.6
1988-11-01,1.6
1988-12-01,20.8
1989-01-01,-8.9
1989-02-01,-18.3
1989-03-01,6.9
1989-04-01,-127.1
1989-05-01,-170.3
1989-06-01,-200.8
1989-07-01,-232.3
1989-08-01,-190.6
1989-09-01,-100.3
1989-10-01,-38.0
1989-11-01,-17.2
1989-12-01,-34.4
1990-01-01,15.0
1990-02-01,5.9
1990-03-01,-62.2
1990-04-01,-104.1
1990-05-01,-116.7
1990-06-01,-197.9
1990-07-01,-228.4
1990-08-01,-197.2
1990-09-01,-148.9
1990-10-01,-108.7
1990-11-01,-46.7
1990-12-01,-16.4
1991-01-01,-38.4
1991-02-01,-22.3
1991-03-01,140.7
1991-04-01,-107.4
1991-05-01,-152.8
1991-06-01,-187.0
1991-07-01,-225.5
1991-08-01,-189.2
1991-09-01,-157.7
1991-10-01,-39.8
1991-11-01,-49.4
1991-12-01,3.0
1992-01-01,3.7
1992-02-01,91.1
1992-03-01,-29.5
1992-04-01,-127.7
1992-05-01,-194.4
1992-06-01,-190.9
1992-07-01,-210.9
